,Codigo_Municipio,Codigo_Municipio Latitude,Codigo_Municipio Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
22,25873,5.2162,-73.5949,Nacimiento río Bogotá,5.216749949865132,-73.59638186178138,Lake
23,25873,5.2162,-73.5949,Piqueteadero Doña Rufina,5.216661693062837,-73.59647961669424,Latin American Restaurant
24,25873,5.2162,-73.5949,Servitel comunicaciones,5.2161047,-73.5965709,Advertising Agency
25,25873,5.2162,-73.5949,Brasas y sacaron,5.215554,-73.59695,BBQ Joint
26,25873,5.2162,-73.5949,La Habana,5.214356574356323,-73.59761817051418,Bar
27,25873,5.2162,-73.5949,Droguería Colsubsidio Villapinzón,5.217576295845631,-73.59174552214051,Pharmacy
28,25873,5.2162,-73.5949,piedra del diablo,5.222591342669124,-73.59071774832253,River
29,25001,4.3765,-74.67,Parque Central Agua De Dios Cundinamarca,4.376906184032699,-74.66924146337708,Plaza
30,25001,4.3765,-74.67,parque de los pies descalzos Medellín,4.377718448638916,-74.66221618652344,National Park
31,25307,4.31,-74.81,Hamburguesas El Corral,4.305322135283258,-74.80340424655613,Burger Joint
32,25307,4.31,-74.81,Restaurante Assao Parrilla Bar,4.308427140735856,-74.80420231819153,Steakhouse
33,25307,4.31,-74.81,Popsy Girardot,4.304878112543891,-74.80356794217165,Ice Cream Shop
34,25307,4.31,-74.81,Tiendas Jumbo Girardot,4.304820129815552,-74.80383882867508,Department Store
35,25307,4.31,-74.81,Harry's Pizza,4.304219498488569,-74.80420896581181,Pizza Place
36,25307,4.31,-74.81,Canchas de Voleibol - Girardot,4.305747157409724,-74.8119807243347,Volleyball Court
37,25307,4.31,-74.81,Coliseo Martha Catalina Daniels,4.303858425580691,-74.81105274474257,Basketball Stadium
38,25307,4.31,-74.81,Terminal de Transporte - Girardot,4.302436096500546,-74.80512902921949,Bus Station
39,25483,1.2899,-77.3572,Puerto El Encano,1.289303,-77.362178,Harbor / Marina
40,25488,4.306,-74.6208,Nibar,4.305783,-74.621453,Bar
41,25488,4.306,-74.6208,Arepas Don Mancho,4.307002,-74.619957,Bagel Shop
42,25488,4.306,-74.6208,Aquafrios Los Panches,4.305421,-74.621417,Juice Bar
43,25488,4.306,-74.6208,El Oasis De Nilo Billares,4.307563,-74.619117,Pool Hall
44,25612,4.2808,-74.7647,Puerto Peñalisa,4.275505366351598,-74.76324324781483,Golf Course
45,25612,4.2808,-74.7647,Carulla Peñalisa,4.2755363460800355,-74.75772381208473,Grocery Store
46,25612,4.2808,-74.7647,Ricaurte,4.281006333682286,-74.77199144319573,City
47,25612,4.2808,-74.7647,Villa Ricaurte,4.2778127185192485,-74.77179050445557,Hotel
48,25612,4.2808,-74.7647,Sopas de mamá y postres de la abuela - Peñalisa,4.275439,-74.757865,Latin American Restaurant
49,25815,4.4582,-74.6343,Parque de Tocaima,4.457976383496237,-74.6340588502678,Park
50,25815,4.4582,-74.6343,Mandarina Café & Helado,4.45762140292042,-74.63532264505606,Ice Cream Shop
51,25815,4.4582,-74.6343,Hotel La Mansion,4.457314819282952,-74.63607748636112,Resort
52,25815,4.4582,-74.6343,Terminal tocaima,4.45647305510225,-74.64079516907604,Bus Station
53,25148,5.3464,-74.4915,Plaza Principal Caparrapi,5.34594120655169,-74.49144794282782,Park
54,25320,5.0669,-74.595,Plaza Principal de Guaduas,5.067447473106417,-74.59525735870912,Plaza
55,25320,5.0669,-74.595,Casa De La Pola,5.066772572135372,-74.59590616450689,History Museum
56,25320,5.0669,-74.595,El Nectar,5.064896923631962,-74.59459060089547,Bakery
57,25320,5.0669,-74.595,El Néctar,5.067601933781918,-74.59490519307728,Dessert Shop
58,25320,5.0669,-74.595,Salome,5.0678977207339475,-74.59541425928857,Food Court
59,25320,5.0669,-74.595,Helados Ana María,5.067428783053229,-74.59445332411391,Dessert Shop
60,25320,5.0669,-74.595,Restaurante La Glorieta,5.070370331151279,-74.60058059694722,Diner
61,25572,5.462999999999999,-74.6544,Donde Fanny,5.4647510966497475,-74.6532435079817,Latin American Restaurant
